label,roc_auc,pr_auc,f1,precision,recall,threshold,accuracy
pungent,0.739037037037037,0.37963946282801786,0.4108108108108108,0.34545454545454546,0.5066666666666667,0.13,0.7494252873563219
sweet,0.8472988267770876,0.8770844793436747,0.8334801762114538,0.7754098360655738,0.900952380952381,0.42,0.7827586206896552
floral,0.832019173347567,0.807238768854831,0.763873775843308,0.7282157676348547,0.8032036613272311,0.52,0.7505747126436781
minty,0.7361945508865364,0.3977274849063131,0.4400977995110025,0.38961038961038963,0.5056179775280899,0.22,0.7367816091954023
