label,roc_auc,pr_auc,f1,precision,recall,threshold,accuracy
pungent,0.7359722222222222,0.33781140176960694,0.39460370994940974,0.26410835214446954,0.78,0.45,0.5873563218390805
sweet,0.8038647342995169,0.8149792395117377,0.8133971291866029,0.6995884773662552,0.9714285714285714,0.19,0.7310344827586207
floral,0.7814328219383684,0.7169738393102968,0.7513711151736745,0.6255707762557078,0.9405034324942791,0.3,0.6873563218390805
minty,0.7275321491199584,0.3926152136969858,0.4493243243243243,0.321256038647343,0.7471910112359551,0.48,0.6252873563218391
