label,roc_auc,pr_auc,f1,precision,recall,threshold,accuracy
pungent,0.7083981481481482,0.3454056452613826,0.39393939393939387,0.3611111111111111,0.43333333333333335,0.25,0.7701149425287356
sweet,0.8389813664596273,0.8608478365708402,0.8364565587734242,0.7565485362095532,0.9352380952380952,0.41000000000000003,0.7793103448275862
floral,0.8158291098768107,0.7706377850678761,0.7721123829344433,0.7080152671755725,0.8489702517162472,0.45,0.7482758620689656
minty,0.7115550107163733,0.3902291724012307,0.42105263157894735,0.3552123552123552,0.5168539325842697,0.28,0.7091954022988506
